date,time,location_pl,street_1,street_2,district,line,lines_affected,source,notes,lat,lon,geocode_query
2026-06-19,14:34,Legnicka / Mosty Młyńskie,Legnicka,Mosty Młyńskie,Fabryczna,,3;5;8;10;11;12;13;17;21;22;23,wroclaw.pl,Pęknięcie szyny + wyboczenie — fala upałów; dwa równoczesne incydenty,51.1130703,17.0061492,"Legnicka, Wrocław, Poland"
2026-02-26,09:00,Kazimierza Wielkiego / Ruska,Kazimierza Wielkiego,Ruska,Stare Miasto,7,3;6;7;10;12;13;18,wroclaw.pl,Wypadnięcie na łuku — klasyczne wykolejenie,51.1102961,17.0260593,"Kazimierza Wielkiego & Ruska, Wrocław, Poland"
2026-01-09,14:00,Pomorska / Dubois,Pomorska,Dubois,Stare Miasto,15,14;15;18;19;24;128;144,wroclaw.pl,Tramwaj 15 wykonał spektakularny drift,51.1180624,17.0305648,"Pomorska & Dubois, Wrocław, Poland"
2026-01-06,11:00,Piłsudskiego / Kołłątaja,Piłsudskiego,Kołłątaja,Śródmieście,,2;4;5;8;9;18;22;23,wroclaw.pl,Uszkodzenie łuku toru,51.1020426,17.025307,"Piłsudskiego, Wrocław, Poland"
2025-11-20,07:00,Legnicka (odcinek Kwiska–pl.Jana Pawła II),Legnicka,,Fabryczna,,3;10;12;13;21;76,transinfo.pl,Pęknięcie szyny — wymiana szyny,51.1130703,17.0061492,"Legnicka, Wrocław, Poland"
2025-08-03,07:30,Hubska / Bardzka,Hubska,Bardzka,Krzyki,,,,radiowroclaw.pl,51.0920704,17.0435335,"Hubska, Wrocław, Poland"
2026-05-13,08:00,Pułaskiego (Kościuszki–Małachowskiego),Pułaskiego,,Krzyki,16,,,gazetawroclawska.pl,51.0970284,17.0422422,"Pułaskiego, Wrocław, Poland"
2024-08-23,12:00,Most Uniwersytecki,Most Uniwersytecki,,Stare Miasto,,,, wroclaw.naszemiasto.pl,51.1147207,17.0339017,"Most Uniwersytecki, Wrocław, Poland"
2024-02-10,19:00,Plac Staszica,Plac Staszica,,Śródmieście,,,,,51.1221407,17.0306586,"Plac Staszica, Wrocław, Poland"
2024-01-01,05:30,Pułaskiego (Kościuszki–Małachowskiego),Pułaskiego,,Krzyki,,,,gazetawroclawska.pl,51.0970284,17.0422422,"Pułaskiego, Wrocław, Poland"
2023-12-27,09:00,Nowy Dworzec Nadodrze,Wyspa Słodowa,,Nadodrze,1,1;8;16,wroclaw.pl,Uszkodzony rozjazd,51.1160692,17.0373468,"Wyspa Słodowa, Wrocław, Poland"
2023-08-21,09:00,Świdnicka / Podwale (Renoma),Świdnicka,Podwale,Stare Miasto,31,5;11;15;23;31,wroclaw.pl,Tramwaj uszkodził słup sygnalizacji,51.105415,17.0312103,"Świdnicka, Wrocław, Poland"
2023-01-26,16:00,Stawowa / Piłsudskiego,Stawowa,Piłsudskiego,Śródmieście,31,,,wroclaw.naszemiasto.pl,51.1006346,17.0341251,"Stawowa, Wrocław, Poland"
2023-01-01,09:00,Legnicka,Legnicka,,Fabryczna,33,,,wroclaw.naszemiasto.pl,51.1130703,17.0061492,"Legnicka, Wrocław, Poland"
2022-03-01,08:00,Grabiszyńska (przystanek Cmentarz),Grabiszyńska,,Grabiszyn,20,,,gazetawroclawska.pl,51.0979842,16.9940027,"Grabiszyńska, Wrocław, Poland"
2021-01-01,,,Plac Bema,Poniatowskiego,Śródmieście,6;23,,,radiowroclaw.pl,51.117469,17.0406782,"Plac Bema, Wrocław, Poland"
2020-01-01,,,Jedności Narodowej,Daszyńskiego,Śródmieście,,,,wroclaw.naszemiasto.pl,51.1189707,17.0382832,"Jedności Narodowej, Wrocław, Poland"
2014-09-27,10:08,Plac Powstańców Wielkopolskich,Plac Powstańców Wielkopolskich,,Stare Miasto,8,,wroclawskakomunikacja.pl,Škoda 16T #3017 — dokładna data i godzina,51.1245931,17.0348019,"Plac Powstańców Wielkopolskich, Wrocław, Poland"
2012-06-08,,Legnicka (przystanek Młodych Techników),Legnicka,,Fabryczna,3;10,,wroclawskakomunikacja.pl,Podczas Euro 2012,51.1130703,17.0061492,"Legnicka, Wrocław, Poland"
2011-08-24,08:30,Teatralnej / Piotra Skargi,Teatralna,Piotra Skargi,Stare Miasto,,,wroclawskakomunikacja.pl,Przed 9:00,51.1052649,17.0352463,"Teatralna, Wrocław, Poland"
